MAR,SCHL,SEX,RAC1P,WKWN,WKHP,AGEP,WAGP
2,14,2,1,,,80,0
2,19,2,1,,,79,0
5,22,1,1,,,76,0
5,16,2,6,,,18,0
4,11,1,1,20,25,45,6000
5,11,1,1,,,51,0
1,16,2,1,52,40,43,46800
2,10,2,1,,,87,0
2,21,2,1,,,74,0
5,22,1,1,,,68,0
3,23,1,1,52,45,50,108000
3,19,1,1,,,62,0
2,18,2,1,,,93,0
3,16,2,1,,,38,0
3,19,1,1,,,33,0
5,16,2,1,,,55,0
5,16,2,6,2,25,19,3900
2,16,2,1,,,87,0
1,19,2,1,,,80,0
5,20,1,1,16,10,19,2000
3,18,1,1,,,35,0
2,22,1,1,,,83,0
5,19,1,1,,,22,0
4,14,2,4,,,49,0
5,17,1,1,,,51,0
5,14,1,9,30,40,17,18000
2,16,1,1,,,93,0
5,20,1,1,,,35,0
5,11,1,9,,,14,
3,21,2,1,,,79,0
5,16,2,2,,,33,0
5,11,1,8,,,15,0
5,18,1,1,,,50,0
5,21,1,1,44,25,54,13500
5,17,1,2,,,63,0
5,19,1,2,26,40,23,19100
5,22,1,6,52,40,34,48000
5,16,1,1,4,20,20,5000
5,19,1,9,52,40,21,18400
5,19,2,1,30,40,20,14000
2,16,2,1,,,93,0
5,16,2,6,,,19,0
2,18,2,9,,,93,0
5,18,1,1,52,50,19,80000
1,16,2,1,,,26,0
3,12,2,1,,,46,0
5,19,1,1,,,29,0
1,22,2,1,,,93,0
1,21,1,1,,,86,0
2,16,2,1,,,69,0
5,19,1,1,15,25,18,7600
3,19,1,3,,,67,0
1,19,1,1,,,48,0
2,12,2,9,,,93,0
1,19,2,1,,,71,0
5,19,1,2,,,24,0
5,18,1,1,52,40,21,22000
5,13,1,8,4,32,45,1900
5,19,1,1,2,38,20,5000
2,22,2,1,,,69,0
2,21,2,1,,,93,0
2,19,2,1,,,78,0
5,16,1,6,52,40,23,18400
5,16,2,1,,,72,0
5,17,1,9,,,35,0
2,16,2,1,,,85,0
1,14,1,1,,,76,0
5,18,2,1,16,25,19,6000
5,19,2,1,23,6,19,4000
5,16,1,1,,,19,0
2,16,2,9,,,93,0
5,18,2,1,1,15,18,2000
3,16,2,1,,,73,0
5,19,2,6,52,6,21,1500
5,21,1,1,,,67,0
2,22,2,1,,,78,0
3,16,2,1,,,76,0
2,16,2,1,,,93,0
5,19,1,1,30,20,21,12700
5,11,1,8,,,15,0
5,10,1,1,,,28,0
5,18,2,6,52,15,18,9000
5,8,1,8,52,40,25,25000
5,18,2,1,52,40,25,29000
5,19,1,2,,,54,0
5,16,1,6,2,15,19,5100
5,17,2,8,,,17,0
1,19,1,1,,,82,0
5,23,1,6,52,40,51,4800
5,22,2,6,,,76,0
3,20,2,1,,,47,0
4,19,1,1,,,74,0
5,19,1,1,12,40,29,2000
1,18,1,2,,,39,0
5,16,1,2,,,21,0
5,19,2,9,52,16,21,10800
1,19,2,6,,,25,0
5,18,1,1,,,84,0
